127.0.0.1 - - [31/Dec/2016:23:55:50 -0800] "GET /api/v1/refer?a=viator&i=com.viator&h=157b80c03133cba0eec1412eccae72f28367b424&k=APID&an=Google&p=iOS&u=574ED3DB-5D00-4F7A-BFCB-56F3E9CF5CF9&ca=-&op=touch HTTP/1.1" 200 18 "-" "Apsalar/postback_status" "-" 0.000 "-"
117.2.185.36 - - [01/Jan/2017:00:08:17 -0800] "GET /api/v1/event?a=viator&k=APID&u=81F1C828-D7A8-4B40-91A4-3947301E124F&av=5.3.0&i=com.viator&lag=3.36&n=Launch&e=%7B%22adInfoId%22%3A%2283FF4426-FE3C-41C0-9863-D30AEDEC05F4%22%7D&p=iOS&rt=plist&s=3624CC9C-BCE6-4898-8568-2946692503F1&t=4.76&idfa=83FF4426-FE3C-41C0-9863-D30AEDEC05F4&idfv=8FCC7192-D365-4DD1-B4EF-55587C7A83EF&seq=2&sdk=Apsalar%2F7.3.1&h=5fe4bd967feec4277561f802561ac6c3666a1065 HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.0.2 Darwin/16.0.0" "117.2.185.36" 0.000 "-" country=VN&mo=iPad4%2C7&adv_id=83FF4426-FE3C-41C0-9863-D30AEDEC05F4&ma=Apple&ann=Y
174.227.11.174 - - [01/Jan/2017:00:09:44 -0800] "GET /api/v1/event?a=viator&av=3.4.0&e=%7B%22adInfoId%22%3A%22c686b088-331a-4064-b8c0-3842c1cacd10%22%7D&i=com.viator.mobile.android&n=Launch&p=Android&rt=json&s=a51dc63f-8a48-4138-8e84-00bd656c3243&sdk=Apsalar%2F6.5&t=3.472&u=c686b088-331a-4064-b8c0-3842c1cacd10&k=AIFA&seq=1&lag=2.314&h=e90cf158621b6daabd1b38a7ceea15c6353913f4 HTTP/1.0" 200 18 "-" "Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-J100VPP Build/LMY48B)" "174.227.11.174" 0.000 "-" country=US&mo=SM-J100VPP&adv_id=c686b088-331a-4064-b8c0-3842c1cacd10&ma=samsung&ann=Y
106.142.181.239 - - [01/Jan/2017:00:12:38 -0800] "GET /api/v1/event?a=viator&k=APID&u=16788DAE-5E4F-4BE1-95C3-4F2A0E24A268&av=5.3.0&i=com.viator&lag=9.22&n=Launch&e=%7B%22adInfoId%22%3A%228CE3D081-01EE-4AD1-B22E-A1F5B00B36E9%22%7D&p=iOS&rt=plist&s=545B1E67-0C22-41FE-9BA6-DDD8B52AE2E7&t=0.01&idfa=8CE3D081-01EE-4AD1-B22E-A1F5B00B36E9&idfv=BE3954C1-10D4-471B-940F-FDE955B23BCF&seq=1&sdk=Apsalar%2F7.3.1&h=3c8e1091f4ed1b41039ddac2e10c3a222e6cfe83 HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "106.142.181.239" 0.000 "-" country=JP&mo=iPhone7%2C2&adv_id=8CE3D081-01EE-4AD1-B22E-A1F5B00B36E9&ma=Apple&ann=Y
106.142.181.239 - - [01/Jan/2017:00:12:38 -0800] "GET /api/v1/event?a=viator&k=APID&u=16788DAE-5E4F-4BE1-95C3-4F2A0E24A268&av=5.3.0&i=com.viator&lag=8.62&n=Launch&e=%7B%22adInfoId%22%3A%228CE3D081-01EE-4AD1-B22E-A1F5B00B36E9%22%7D&p=iOS&rt=plist&s=545B1E67-0C22-41FE-9BA6-DDD8B52AE2E7&t=1.42&idfa=8CE3D081-01EE-4AD1-B22E-A1F5B00B36E9&idfv=BE3954C1-10D4-471B-940F-FDE955B23BCF&seq=2&sdk=Apsalar%2F7.3.1&h=d8733d9994db4479b63738164c84a7e6c4a8069d HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "106.142.181.239" 0.000 "-" country=JP&mo=iPhone7%2C2&adv_id=8CE3D081-01EE-4AD1-B22E-A1F5B00B36E9&ma=Apple&ann=Y
106.142.181.239 - - [01/Jan/2017:00:12:39 -0800] "GET /api/v1/event?a=viator&k=APID&u=16788DAE-5E4F-4BE1-95C3-4F2A0E24A268&av=5.3.0&i=com.viator&lag=7.34&n=Launch&e=%7B%22adInfoId%22%3A%228CE3D081-01EE-4AD1-B22E-A1F5B00B36E9%22%7D&p=iOS&rt=plist&s=545B1E67-0C22-41FE-9BA6-DDD8B52AE2E7&t=3.44&idfa=8CE3D081-01EE-4AD1-B22E-A1F5B00B36E9&idfv=BE3954C1-10D4-471B-940F-FDE955B23BCF&seq=3&sdk=Apsalar%2F7.3.1&h=910314862676b5e8bf2c71c758c8b5b07d426d5b HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "106.142.181.239" 0.000 "-" country=JP&mo=iPhone7%2C2&adv_id=8CE3D081-01EE-4AD1-B22E-A1F5B00B36E9&ma=Apple&ann=Y
106.142.181.239 - - [01/Jan/2017:00:12:40 -0800] "GET /api/v1/event?a=viator&k=APID&u=16788DAE-5E4F-4BE1-95C3-4F2A0E24A268&av=5.3.0&i=com.viator&lag=5.75&n=Launch&e=%7B%22adInfoId%22%3A%228CE3D081-01EE-4AD1-B22E-A1F5B00B36E9%22%7D&p=iOS&rt=plist&s=545B1E67-0C22-41FE-9BA6-DDD8B52AE2E7&t=5.84&idfa=8CE3D081-01EE-4AD1-B22E-A1F5B00B36E9&idfv=BE3954C1-10D4-471B-940F-FDE955B23BCF&seq=4&sdk=Apsalar%2F7.3.1&h=bbbf7b7e172e68a5ed41d17c108b82cc02ed5faa HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "106.142.181.239" 0.000 "-" country=JP&mo=iPhone7%2C2&adv_id=8CE3D081-01EE-4AD1-B22E-A1F5B00B36E9&ma=Apple&ann=Y
106.142.181.239 - - [01/Jan/2017:00:13:41 -0800] "GET /api/v1/event?a=viator&k=APID&u=16788DAE-5E4F-4BE1-95C3-4F2A0E24A268&av=5.3.0&i=com.viator&lag=0.11&n=end_session&e=%7B%7D&p=iOS&rt=plist&s=545B1E67-0C22-41FE-9BA6-DDD8B52AE2E7&t=72.32&idfa=8CE3D081-01EE-4AD1-B22E-A1F5B00B36E9&idfv=BE3954C1-10D4-471B-940F-FDE955B23BCF&seq=0&sdk=Apsalar%2F7.3.1&h=517575a2673864d02b2cdf974f6c78ce01fd689c HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "106.142.181.239" 0.000 "-" country=JP&mo=None&adv_id=None&ma=None&ann=Y
144.139.152.107 - - [01/Jan/2017:00:13:42 -0800] "GET /api/v1/event?a=viator&k=APID&u=201ADE34-05E4-49A5-8FE2-53B95CA37548&av=5.3.0&i=com.viator&lag=11.66&n=Launch&e=%7B%22adInfoId%22%3A%2200000000-0000-0000-0000-000000000000%22%7D&p=iOS&rt=plist&s=D2C89E7E-057A-4FBD-990C-8D59A8A714AA&t=0.01&idfa=(null)&idfv=803ED8ED-9A7F-4B61-96DD-03E42673E629&seq=1&sdk=Apsalar%2F7.3.1&h=02136883db7b06b82e3b7bc1e999c578ca9e815c HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.1.4 Darwin/16.1.0" "144.139.152.107" 0.000 "-" country=AU&mo=iPhone7%2C2&adv_id=None&ma=Apple&ann=Y
81.154.178.44 - - [01/Jan/2017:00:21:44 -0800] "GET /api/v1/event?a=viator&rt=json&e=%7B%22referrer%22%3A%22apsalar_clid%3DpuerqI-wd8zbo1-4Y5bRN515vH1yMdZLOqipmkd06Q28243R89lvUtJdVIWOpdDRXFWE31JUu9p4hHxwa4J3UDzCsoQcmY34lJDaVqtJoqtOeafhgWlA-yyoGDIvQ8yXNW6m7-VoLj3EmXNjHWoBKyzsatrT62Qz4yh1vIBPM4M%22%7D&i=com.viator.mobile.android&k=AIFA&lag=0.355&n=__InstallReferrer&p=Android&s=c86bb3a1-171d-4dcf-8552-9f0987fdb405&u=271c3fad-6b65-44aa-aa2d-6df514b00a67&t=1.863&av=3.1.0&hops=1&sdk=Apsalar%2F6.1.5&h=767dd13789b2cd0b8124909cbc0c2a52a8c3ccc5 HTTP/1.1" 200 18 "-" "re_enqueue" "81.154.178.44" 0.000 "-"
144.139.152.107 - - [01/Jan/2017:00:13:44 -0800] "GET /api/v1/event?a=viator&k=APID&u=201ADE34-05E4-49A5-8FE2-53B95CA37548&av=5.3.0&i=com.viator&lag=11.89&n=Launch&e=%7B%22adInfoId%22%3A%2200000000-0000-0000-0000-000000000000%22%7D&p=iOS&rt=plist&s=D2C89E7E-057A-4FBD-990C-8D59A8A714AA&t=1.32&idfa=(null)&idfv=803ED8ED-9A7F-4B61-96DD-03E42673E629&seq=2&sdk=Apsalar%2F7.3.1&h=ab9e95b9276356a3b28bdc7bd59e200d578946c0 HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.1.4 Darwin/16.1.0" "144.139.152.107" 0.000 "-" country=AU&mo=iPhone7%2C2&adv_id=None&ma=Apple&ann=Y
144.139.152.107 - - [01/Jan/2017:00:13:45 -0800] "GET /api/v1/event?a=viator&k=APID&u=201ADE34-05E4-49A5-8FE2-53B95CA37548&av=5.3.0&i=com.viator&lag=8.15&n=Launch&e=%7B%22adInfoId%22%3A%2200000000-0000-0000-0000-000000000000%22%7D&p=iOS&rt=plist&s=D2C89E7E-057A-4FBD-990C-8D59A8A714AA&t=6.41&idfa=(null)&idfv=803ED8ED-9A7F-4B61-96DD-03E42673E629&seq=3&sdk=Apsalar%2F7.3.1&h=a3a4dbad5e0f5d3ca1e58f24e5f40baf8a5cc100 HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.1.4 Darwin/16.1.0" "144.139.152.107" 0.000 "-" country=AU&mo=iPhone7%2C2&adv_id=None&ma=Apple&ann=Y
144.139.152.107 - - [01/Jan/2017:00:13:57 -0800] "GET /api/v1/event?a=viator&k=APID&u=201ADE34-05E4-49A5-8FE2-53B95CA37548&av=5.3.0&i=com.viator&lag=0.04&n=end_session&e=%7B%7D&p=iOS&rt=plist&s=D2C89E7E-057A-4FBD-990C-8D59A8A714AA&t=24.95&idfa=(null)&idfv=803ED8ED-9A7F-4B61-96DD-03E42673E629&seq=0&sdk=Apsalar%2F7.3.1&h=10f8333d5e52cf22f861ba4bc67d78e42896e587 HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.1.4 Darwin/16.1.0" "144.139.152.107" 0.000 "-" country=AU&mo=None&adv_id=None&ma=None&ann=Y
144.139.152.107 - - [01/Jan/2017:00:14:01 -0800] "GET /api/v1/event?a=viator&k=APID&u=201ADE34-05E4-49A5-8FE2-53B95CA37548&av=5.3.0&i=com.viator&lag=0.02&n=Launch&e=%7B%22adInfoId%22%3A%2200000000-0000-0000-0000-000000000000%22%7D&p=iOS&rt=plist&s=D2C89E7E-057A-4FBD-990C-8D59A8A714AA&t=29.92&idfa=(null)&idfv=803ED8ED-9A7F-4B61-96DD-03E42673E629&seq=4&sdk=Apsalar%2F7.3.1&h=17c465918f641a9ffc56e57b1f6d1e7260237fcf HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.1.4 Darwin/16.1.0" "144.139.152.107" 0.000 "-" country=AU&mo=iPhone7%2C2&adv_id=None&ma=Apple&ann=Y
106.142.181.239 - - [01/Jan/2017:00:14:08 -0800] "GET /api/v1/event?a=viator&k=APID&u=16788DAE-5E4F-4BE1-95C3-4F2A0E24A268&av=5.3.0&i=com.viator&lag=0.06&n=Launch&e=%7B%22adInfoId%22%3A%228CE3D081-01EE-4AD1-B22E-A1F5B00B36E9%22%7D&p=iOS&rt=plist&s=545B1E67-0C22-41FE-9BA6-DDD8B52AE2E7&t=99.40&idfa=8CE3D081-01EE-4AD1-B22E-A1F5B00B36E9&idfv=BE3954C1-10D4-471B-940F-FDE955B23BCF&seq=5&sdk=Apsalar%2F7.3.1&h=9e9e021aaabae8ee10e304aa3d1033ebc41dac05 HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "106.142.181.239" 0.000 "-" country=JP&mo=iPhone7%2C2&adv_id=8CE3D081-01EE-4AD1-B22E-A1F5B00B36E9&ma=Apple&ann=Y
106.142.181.239 - - [01/Jan/2017:00:15:16 -0800] "GET /api/v1/event?a=viator&k=APID&u=16788DAE-5E4F-4BE1-95C3-4F2A0E24A268&av=5.3.0&i=com.viator&lag=0.03&n=end_session&e=%7B%7D&p=iOS&rt=plist&s=545B1E67-0C22-41FE-9BA6-DDD8B52AE2E7&t=167.55&idfa=8CE3D081-01EE-4AD1-B22E-A1F5B00B36E9&idfv=BE3954C1-10D4-471B-940F-FDE955B23BCF&seq=0&sdk=Apsalar%2F7.3.1&h=2152bbe1b5b1ba17d537c1a029a2c41c56bcbcf1 HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "106.142.181.239" 0.000 "-" country=JP&mo=None&adv_id=None&ma=None&ann=Y
144.139.152.107 - - [01/Jan/2017:00:15:33 -0800] "GET /api/v1/event?a=viator&k=APID&u=201ADE34-05E4-49A5-8FE2-53B95CA37548&av=5.3.0&i=com.viator&lag=0.04&n=end_session&e=%7B%7D&p=iOS&rt=plist&s=D2C89E7E-057A-4FBD-990C-8D59A8A714AA&t=122.32&idfa=(null)&idfv=803ED8ED-9A7F-4B61-96DD-03E42673E629&seq=0&sdk=Apsalar%2F7.3.1&h=f5748d0e549f875f9af95a4598f941d765857e8e HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.1.4 Darwin/16.1.0" "144.139.152.107" 0.000 "-" country=AU&mo=None&adv_id=None&ma=None&ann=Y
106.142.181.239 - - [01/Jan/2017:00:16:21 -0800] "GET /api/v1/event?a=viator&k=APID&u=16788DAE-5E4F-4BE1-95C3-4F2A0E24A268&av=5.3.0&i=com.viator&lag=0.08&n=Launch&e=%7B%22adInfoId%22%3A%228CE3D081-01EE-4AD1-B22E-A1F5B00B36E9%22%7D&p=iOS&rt=plist&s=545B1E67-0C22-41FE-9BA6-DDD8B52AE2E7&t=232.20&idfa=8CE3D081-01EE-4AD1-B22E-A1F5B00B36E9&idfv=BE3954C1-10D4-471B-940F-FDE955B23BCF&seq=6&sdk=Apsalar%2F7.3.1&h=abcf770acd4d761da30c20b52867dbe6c5cb3304 HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "106.142.181.239" 0.000 "-" country=JP&mo=iPhone7%2C2&adv_id=8CE3D081-01EE-4AD1-B22E-A1F5B00B36E9&ma=Apple&ann=Y
46.229.173.131 - - [01/Jan/2017:00:20:25 -0800] "GET /api/v1/refer?a=viator&an=Google+Display+%28Apps%29&append_app_conv_trk_params=1&ca=Install+Android+Phone&cr=97688190283&h=6b94b7d51d4d5aad748432e243cb9a1d76ef9145&i=com.viator.mobile.android&ip=46.229.173.131&k=GAID&lpurl=market%3A%2F%2Fdetails%3Fid%3Dcom.viator.mobile.android%26hl%3Den%26referrer%3Dutm_source%253DAdwords%2526utm_term%253DAdwords%2526utm_medium%253Dwww.androidfreedownload.net%2526utm_campaign%253DADXADREFam555ce4a356eb53&op=click&p=Android&pl=General+Apps&rand=268119937346920106&re=0&rt=json&s=www.androidfreedownload.net&st=489225010450&u=25b1844f-cffb-11e6-8000-000000000000&ve=4.2.2 HTTP/1.1" 200 18 "-" "Mozilla/5.0 (Linux; Android 4.2.2; en-us; SAMSUNG-SGH-1337 BUild/JDQ39) AppleWebKit/535.19 (KHTML, like Gecko) Version/1.0 Chrome/18.0.1025.308 Mobile Safari/535.19" "46.229.173.131" 0.000 "-"
106.142.181.239 - - [01/Jan/2017:00:16:27 -0800] "GET /api/v1/event?a=viator&k=APID&u=16788DAE-5E4F-4BE1-95C3-4F2A0E24A268&av=5.3.0&i=com.viator&lag=0.08&n=end_session&e=%7B%7D&p=iOS&rt=plist&s=545B1E67-0C22-41FE-9BA6-DDD8B52AE2E7&t=238.83&idfa=8CE3D081-01EE-4AD1-B22E-A1F5B00B36E9&idfv=BE3954C1-10D4-471B-940F-FDE955B23BCF&seq=0&sdk=Apsalar%2F7.3.1&h=2b4636a1b0c62b8d37e9b8d8a6e903ad224b9762 HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "106.142.181.239" 0.000 "-" country=JP&mo=None&adv_id=None&ma=None&ann=Y
106.142.181.239 - - [01/Jan/2017:00:17:49 -0800] "GET /api/v1/event?a=viator&k=APID&u=16788DAE-5E4F-4BE1-95C3-4F2A0E24A268&av=5.3.0&i=com.viator&lag=0.77&n=Launch&e=%7B%22adInfoId%22%3A%228CE3D081-01EE-4AD1-B22E-A1F5B00B36E9%22%7D&p=iOS&rt=plist&s=545B1E67-0C22-41FE-9BA6-DDD8B52AE2E7&t=320.04&idfa=8CE3D081-01EE-4AD1-B22E-A1F5B00B36E9&idfv=BE3954C1-10D4-471B-940F-FDE955B23BCF&seq=7&sdk=Apsalar%2F7.3.1&h=32a1e95f6e853dd5b9c1afada24138d2c3105d03 HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "106.142.181.239" 0.000 "-" country=JP&mo=iPhone7%2C2&adv_id=8CE3D081-01EE-4AD1-B22E-A1F5B00B36E9&ma=Apple&ann=Y
106.142.181.239 - - [01/Jan/2017:00:20:22 -0800] "GET /api/v1/event?a=viator&k=APID&u=16788DAE-5E4F-4BE1-95C3-4F2A0E24A268&av=5.3.0&i=com.viator&lag=0.08&n=end_session&e=%7B%7D&p=iOS&rt=plist&s=545B1E67-0C22-41FE-9BA6-DDD8B52AE2E7&t=473.55&idfa=8CE3D081-01EE-4AD1-B22E-A1F5B00B36E9&idfv=BE3954C1-10D4-471B-940F-FDE955B23BCF&seq=0&sdk=Apsalar%2F7.3.1&h=53e634cc03a5b3f3123e16433db31193fc02aaab HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "106.142.181.239" 0.000 "-" country=JP&mo=None&adv_id=None&ma=None&ann=Y
92.128.10.46 - - [01/Jan/2017:00:22:26 -0800] "GET /api/v1/event?a=viator&k=APID&u=0BF732C6-0E56-46C5-9C37-C4E343A64658&av=5.3.0&i=com.viator&lag=0.02&n=__iap__&e=%7B%22obfMargin%22%3A1280510%2C%22countryBookedFrom%22%3A%22PH%22%2C%22bookingDate%22%3A%2201-01-2017%22%2C%22pn%22%3A%22Mont%20St-Michel%20Tour%20from%20Paris%20by%20Minibus%22%2C%22pp%22%3A856.75%2C%22itineraryID%22%3A1020047597%2C%22pk%22%3A%229511P17%22%2C%22originalCurrency%22%3A%22USD%22%2C%22primaryDestinationName%22%3A%22Paris%22%2C%22pq%22%3A1%2C%22primaryDestinationId%22%3A479%2C%22r%22%3A856.75%2C%22pcc%22%3A%22USD%22%2C%22travelDate%22%3A%2203-01-2017%22%2C%22dateDiff%22%3A2%7D&p=iOS&rt=plist&s=7094558A-3FD0-4C1B-B926-333C4BB099B9&t=679.50&idfa=3B58D8AE-EEB4-4529-B3C6-CA83DE6349D5&idfv=64F7F04F-CCE7-4F50-B19A-F895A0C3C3D2&seq=25&sdk=Apsalar%2F7.3.1&h=51b711200dac1a689276923239bd7c268117f527 HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.1.4 Darwin/16.1.0" "92.128.10.46" 0.000 "-" country=FR&mo=iPhone7%2C1&adv_id=3B58D8AE-EEB4-4529-B3C6-CA83DE6349D5&ma=Apple&rev=%7B%22revenue%22%3A+856.7500000000001%2C+%22q%22%3A+1%2C+%22p%22%3A+0%2C+%22r%22%3A+85675000%2C+%22pcc%22%3A+%22USD%22%2C+%22valid%22%3A+%22__iap__%22%7D&ann=Y
81.154.178.44 - - [01/Jan/2017:00:21:43 -0800] "GET /api/v1/start?rt=json&ab=armeabi-v7a&dk=%5B%7B%22k%22%3A%22AIFA%22%2C+%22v%22%3A%22271c3fad-6b65-44aa-aa2d-6df514b00a67%22%7D%5D&lag=0.893&aifa=271c3fad-6b65-44aa-aa2d-6df514b00a67&a=viator&br=TCL&av=3.1.0&hops=1&sdk=Apsalar%2F6.1.5&pr=P330X&c=wifi&ma=TCL&p=Android&i=com.viator.mobile.android&mo=P330X&s=c86bb3a1-171d-4dcf-8552-9f0987fdb405&n=Viator&dnt=1&de=Pop7_LTE&u=271c3fad-6b65-44aa-aa2d-6df514b00a67&v=4.3&k=AIFA&h=664d517cce6ed725a08a42a504ff1f4406742d4a HTTP/1.1" 200 130 "-" "re_enqueue" "81.154.178.44" 0.015 "first=false redirect=false startRespTime=11 ddlUrl= ddlErr=<nil>" country=GB&adv_id=271c3fad-6b65-44aa-aa2d-6df514b00a67&reinstall=False&ann=Y
31.215.17.78 - - [01/Jan/2017:00:22:53 -0800] "GET /api/v1/event?a=viator&k=IDFA&u=99D25CEF-BEE0-401C-964D-A1A1B44EB559&av=5.3.0&i=com.viator&lag=6.39&n=Launch&e=%7B%22adInfoId%22%3A%2299D25CEF-BEE0-401C-964D-A1A1B44EB559%22%7D&p=iOS&rt=plist&s=C2CE25CC-EA3A-4C68-87ED-FB6D9B1CD896&t=0.00&idfa=99D25CEF-BEE0-401C-964D-A1A1B44EB559&idfv=59652C32-ABEC-4C17-88DD-A3C14C263FA3&seq=1&sdk=Apsalar%2F7.3.1&h=1af2acf6851ccb6fc30552da3adfe6285044b56c HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.1.4 Darwin/16.1.0" "31.215.17.78" 0.000 "-" country=AE&mo=iPhone8%2C2&adv_id=99D25CEF-BEE0-401C-964D-A1A1B44EB559&ma=Apple&ann=Y
122.151.154.214 - - [01/Jan/2017:00:22:53 -0800] "GET /api/v1/event?a=viator&k=APID&u=01C44692-5A88-4882-8720-7BA2593F00EE&av=5.3.0&i=com.viator&lag=0.05&n=end_session&e=%7B%7D&p=iOS&rt=plist&s=E398EC96-4034-4E86-9A5A-B49BF0909003&t=963.31&idfa=(null)&idfv=056170C1-CA41-48E5-A690-E6E1962D8FDB&seq=0&sdk=Apsalar%2F7.3.1&h=4cbb62c1c9e3d055f8d4097362191836344a3d8f HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "122.151.154.214" 0.000 "-" country=AU&mo=None&adv_id=None&ma=None&ann=Y
127.0.0.1 - - [01/Jan/2017:00:22:54 -0800] "GET /api/v1/refer?a=viator&i=com.viator.mobile.android&h=157b80c03133cba0eec1412eccae72f28367b424&k=AIFA&an=Google&p=Android&u=271c3fad-6b65-44aa-aa2d-6df514b00a67&ca=-&op=touch HTTP/1.1" 200 18 "-" "Apsalar/postback_status" "-" 0.000 "-"
127.0.0.1 - - [01/Jan/2017:00:22:53 -0800] "GET /api/v1/refer?a=viator&i=com.viator&h=157b80c03133cba0eec1412eccae72f28367b424&k=APID&an=Google&p=iOS&u=0BF732C6-0E56-46C5-9C37-C4E343A64658&ca=-&op=touch HTTP/1.1" 200 18 "-" "Apsalar/postback_status" "-" 0.000 "-"
103.199.36.35 - - [01/Jan/2017:00:22:55 -0800] "GET /api/v1/event?a=viator&k=APID&u=59053037-8057-41C3-BC34-6A92B1219321&av=5.3.0&i=com.viator&lag=0.04&n=viewProduct&e=%7B%22productName%22%3A%22Cu%20Chi%20Tunnels%20by%20Bike%20from%20Ho%20Chi%20Minh%20City%22%2C%22primaryDestinationId%22%3A352%2C%22primaryDestinationName%22%3A%22Ho%20Chi%20Minh%20City%22%2C%22viewProduct%22%3A%22%5C%2224110P1%5C%22%22%7D&p=iOS&rt=plist&s=23B0B8D0-2062-4F62-A82C-2F24A4089C33&t=341.28&idfa=18132D9C-B16F-4117-A5B7-7131687AF35C&idfv=49494046-F9AC-4739-A7FC-89C8277B8245&seq=8&sdk=Apsalar%2F7.3.1&h=0b6f2fa21cbf6c2dd9bb9762c85c92ea56a64637 HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.1.4 Darwin/16.1.0" "103.199.36.35" 0.000 "-" country=VN&mo=iPhone6%2C2&adv_id=18132D9C-B16F-4117-A5B7-7131687AF35C&ma=Apple&ann=Y
94.193.26.172 - - [01/Jan/2017:00:22:55 -0800] "GET /api/v1/start?a=viator&av=5.3.0&c=wifi&i=com.viator&lag=0.09&n=Viator&p=iOS&rt=plist&s=F300768C-FB71-4769-9D1D-55F3604A96BE&sdk=Apsalar%2F7.3.1&u=9DB79AEB-A53F-48A8-8CA5-34A833C2B600&v=10.2&d=iPhone8%2C1&k=IDFA&sc=fb189309987769660&scs=%5B%22http%22%2C%22viator%22%2C%22http%22%2C%22viator%22%2C%22http%22%2C%22viator%22%2C%22http%22%2C%22viator%22%2C%22fb189309987769660%22%5D&cr=1&dnt=0&idfa=9DB79AEB-A53F-48A8-8CA5-34A833C2B600&idfv=D794E462-4F64-4DC4-8E2A-999E8F08339F&h=f1d4d10f7d9a578671242e32e7e287629afb45e4 HTTP/1.0" 200 457 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "94.193.26.172" 0.007 "first=false redirect=false startRespTime=7 ddlUrl= ddlErr=<nil>" country=GB&mo=iPhone8%2C1&adv_id=9DB79AEB-A53F-48A8-8CA5-34A833C2B600&ma=Apple&reinstall=False&ann=Y
122.151.154.214 - - [01/Jan/2017:00:22:56 -0800] "GET /api/v1/event?a=viator&k=APID&u=01C44692-5A88-4882-8720-7BA2593F00EE&av=5.3.0&i=com.viator&lag=0.03&n=Launch&e=%7B%22adInfoId%22%3A%2200000000-0000-0000-0000-000000000000%22%7D&p=iOS&rt=plist&s=E398EC96-4034-4E86-9A5A-B49BF0909003&t=965.99&idfa=(null)&idfv=056170C1-CA41-48E5-A690-E6E1962D8FDB&seq=21&sdk=Apsalar%2F7.3.1&h=f636270a966e457d74a6bf311bd5b7c97d1ec82c HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "122.151.154.214" 0.000 "-" country=AU&mo=iPhone9%2C4&adv_id=None&ma=Apple&ann=Y
127.0.0.1 - - [01/Jan/2017:00:22:57 -0800] "GET /api/v1/refer?a=viator&i=com.viator&h=157b80c03133cba0eec1412eccae72f28367b424&k=IDFA&an=Google&p=iOS&u=9DB79AEB-A53F-48A8-8CA5-34A833C2B600&ca=-&op=touch HTTP/1.1" 200 18 "-" "Apsalar/postback_status" "-" 0.000 "-"
46.229.173.131 - - [01/Jan/2017:00:20:14 -0800] "GET /api/v1/refer?a=viator&an=Google+Display+%28Apps%29&append_app_conv_trk_params=1&ca=Install+Android+Phone&cr=97688190283&h=6b94b7d51d4d5aad748432e243cb9a1d76ef9145&i=com.viator.mobile.android&ip=46.229.173.131&k=GAID&lpurl=market%3A%2F%2Fdetails%3Fid%3Dcom.viator.mobile.android%26hl%3Den%26referrer%3Dutm_source%253DAdwords%2526utm_term%253DAdwords%2526utm_medium%253Dmetroprl.blogspot.com%2526utm_campaign%253DADXADREFam555ce4a356eb53&op=click&p=Android&pl=General+Apps&rand=1651322727960952481&re=0&rt=json&s=metroprl.blogspot.com&st=489225010450&u=1eda9220-cffb-11e6-8000-000000000000&ve=4.2.2 HTTP/1.1" 200 18 "-" "Mozilla/5.0 (Linux; Android 4.2.2; en-us; SAMSUNG-SGH-1337 BUild/JDQ39) AppleWebKit/535.19 (KHTML, like Gecko) Version/1.0 Chrome/18.0.1025.308 Mobile Safari/535.19" "46.229.173.131" 0.000 "-"
